ip,username,password,timestamp,method,endpoint,status,user_agent,referrer,login_status
218.92.0.229,guest,admin' --,2025-04-20T20:52:49+0200,PUT,/usr/login,201,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",https://example.com,success
203.190.54.1,alex,letmein123,2025-04-20T14:52:49-0400,PUT,/dashboard,404,python-requests/2.25.1,https://unknown.tld/weird,failed
94.102.49.193,smith,password1,2025-04-20T18:52:49+0000,PUT,/logout,502,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",https://unknown.tld/weird,failed
218.92.0.223,johnsmith,password123,2025-04-20T11:52:49-0700,OPTIONS,/api/data,400,python-requests/2.25.1,https://unknown.tld/weird,success
185.220.100.252,dev,password,2025-04-20T22:52:49+0400,PATCH,/auth,301,curl/7.68.0,https://evil.com/phishing,success
37.123.163.58,testuser,admin,2025-04-20T22:52:49+0400,DELETE,/login,301,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121",https://legit-site.org,success
198.98.54.17,testuser,admin,2025-04-21T04:52:49+1000,GET,/admin,503,PostmanRuntime/7.29.0,https://bot.com/spam,success
146.70.80.184,john_doe,<script>alert(1)</script>,2025-04-21T00:22:49+0530,GET,/usr/login,400,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",-,failed
218.92.0.216,donald,admin' #,2025-04-20T18:52:49+0000,HEAD,/register,201,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36",https://google.com,success
218.92.0.218,david,12345,2025-04-20T22:52:49+0400,DELETE,/api/data,401,curl/7.68.0,https://facebook.com,success
185.220.101.23,alex,admin,2025-04-20T19:52:49+0100,PATCH,/logout,502,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121",https://someother.com,failed
218.92.0.219,hilary,""" onmouseover=""alert(1)""",2025-04-20T20:52:49+0200,POST,/settings,403,curl/7.68.0,https://evil.com/redirect,failed
146.70.80.184,adam,1234abcd,2025-04-20T18:52:49+0000,DELETE,/admin,503,Mozilla/5.0 (Windows NT 10.0; Win64; x64),-,failed
218.92.0.223,root,""" onmouseover=""alert(1)""",2025-04-20T14:52:49-0400,POST,/api/user,200,PostmanRuntime/7.29.0,https://evil.com/phishing,failed
109.248.148.55,test,admin' --,2025-04-20T18:52:49+0000,HEAD,/usr/login,200,curl/7.68.0,https://bot.com/spam,failed
218.92.0.217,root,root123,2025-04-21T06:52:49+1200,PUT,/profile,200,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121",https://example.com,success
45.83.64.1,hacker,' OR 1=1#,2025-04-20T14:52:49-0400,POST,/usr/login,401,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",-,success
146.70.80.184,adam,admin' --,2025-04-20T19:52:49+0100,HEAD,/dashboard,201,PostmanRuntime/7.29.0,https://hacked.com/exploit,success
109.248.148.55,john_doe,root' OR '1'='1,2025-04-20T21:52:49+0300,POST,/profile,503,Mozilla/5.0 (Windows NT 10.0; Win64; x64),https://secured.com,failed
198.51.100.7,service_account,' OR '1'='1,2025-04-21T06:52:49+1200,PUT,/login,201,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",https://facebook.com,success
218.92.0.236,guest1,admin' #,2025-04-20T21:52:49+0300,PUT,/auth,400,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",https://evil.com/phishing,failed
185.220.101.23,test,welcome,2025-04-20T11:52:49-0700,GET,/api/user,401,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121",https://facebook.com,success
218.92.0.223,guest1,password,2025-04-20T21:52:49+0300,GET,/settings,502,Mozilla/5.0 (Windows NT 10.0; Win64; x64),https://hacked.com/exploit,success
10.0.0.2,test,<script>alert('xss')</script>,2025-04-21T03:52:49+0900,HEAD,/dashboard,502,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",https://youtube.com,failed
45.148.10.67,guest,pass@123,2025-04-20T19:52:49+0100,HEAD,/login,400,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",https://secured.com,failed
218.92.0.103,adam,password,2025-04-20T11:52:49-0700,DELETE,/admin,201,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),https://someother.com,success
45.148.10.67,john_doe,toor,2025-04-20T20:52:49+0200,PATCH,/profile,502,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),https://example.com,success
134.209.120.69,service,12345,2025-04-20T20:52:49+0200,OPTIONS,/logout,403,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),https://example.com,failed
45.227.253.82,david,welcome,2025-04-20T14:52:49-0400,OPTIONS,/dashboard,503,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",https://attack.com/malicious,failed
94.102.49.193,hilary,' OR 1=1#,2025-04-21T00:22:49+0530,POST,/register,403,Mozilla/5.0 (Windows NT 10.0; Win64; x64),https://unknown.tld/weird,success
218.92.0.227,hacker,password123,2025-04-20T19:52:49+0100,POST,/settings,500,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",https://facebook.com,failed
185.220.101.23,james,admin' #,2025-04-21T00:22:49+0530,PATCH,/profile,400,Mozilla/5.0 (Windows NT 10.0; Win64; x64),https://example.com,failed
10.0.0.2,alex,1234abcd,2025-04-20T14:52:49-0400,POST,/profile,201,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),https://secured.com,success
185.220.100.252,testuser,admin' --,2025-04-20T14:52:49-0400,OPTIONS,/login,404,curl/7.68.0,https://legit-site.org,success
218.92.0.227,guest,'; DROP TABLE users; --,2025-04-21T03:52:49+0900,DELETE,/profile,502,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",https://hacked.com/exploit,success
218.92.0.231,charlie,1234abcd,2025-04-20T18:52:49+0000,PUT,/register,201,PostmanRuntime/7.29.0,https://bot.com/spam,success
193.218.118.110,bob,admin,2025-04-21T04:52:49+1000,OPTIONS,/profile,503,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36",https://secured.com,success
193.218.118.110,angela,admin' #,2025-04-21T03:52:49+0900,PUT,/register,401,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",https://facebook.com,success
141.98.10.91,james,admin,2025-04-21T03:52:49+0900,HEAD,/api/data,301,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36",https://evil.com/redirect,success
89.234.157.254,johnsmith,'; DROP TABLE users; --,2025-04-20T19:52:49+0100,HEAD,/settings,301,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),https://evil.com/phishing,success
218.92.0.218,hilary,'; DROP TABLE users; --,2025-04-20T20:52:49+0200,PUT,/auth,502,PostmanRuntime/7.29.0,https://legit-site.org,success
103.152.220.10,donald,x' OR 1=1 --,2025-04-20T19:52:49+0100,GET,/login,200,python-requests/2.25.1,https://youtube.com,success
10.0.0.2,eve,toor,2025-04-20T19:52:49+0100,DELETE,/register,401,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36",https://legit-site.org,success
185.246.208.200,admin,qwerty,2025-04-20T20:52:49+0200,PUT,/register,500,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),https://someother.com,failed
172.16.0.3,service_account,password123,2025-04-21T04:52:49+1000,PUT,/logout,301,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",https://youtube.com,failed
218.92.0.236,user,password,2025-04-21T04:52:49+1000,GET,/admin,401,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",https://attack.com/malicious,failed
45.66.11.10,donald,<script>alert(1)</script>,2025-04-21T00:22:49+0530,OPTIONS,/usr/login,301,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121",https://someother.com,success
